MinAbsEStateIndex,qed,SPS,AvgIpc,BalabanJ,HallKierAlpha,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA13,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA8,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState2,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,RingCount,fr_Al_COO,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_Ndealkylation1,fr_Ndealkylation2,fr_allylic_oxid,fr_bicyclic,fr_ester,fr_ether,fr_guanido,fr_methoxy,fr_morpholine,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_pyridine,fr_quatN,fr_thiocyan,T/K,index,Normalized SMILES,lnr
1.150138889,0.476113751,11.88888889,2.588571201,3.31e-07,-1.09,4884.633856,6.59817512,4.552749874,12.39368714,6.327320075,0.0,0.0,17.55199628,0.0,6.420821623,0.0,13.59242839,10.11812686,4.567099648,0.0,23.04597701,23.71055525,0.0,0.0,0.0,6.544756406,12.84164325,0.0,7.047671983,34.77894371,12.97054686,0.0,0.0,0.0,0.0,8.817018141,3.361944444,-4.046184807,0.666666667,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.15,1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.89853401
1.150138889,0.476113751,11.88888889,2.588571201,3.31e-07,-1.09,4884.633856,6.59817512,4.552749874,12.39368714,6.327320075,0.0,0.0,17.55199628,0.0,6.420821623,0.0,13.59242839,10.11812686,4.567099648,0.0,23.04597701,23.71055525,0.0,0.0,0.0,6.544756406,12.84164325,0.0,7.047671983,34.77894371,12.97054686,0.0,0.0,0.0,0.0,8.817018141,3.361944444,-4.046184807,0.666666667,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.15,1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.906240396
1.150138889,0.476113751,11.88888889,2.588571201,3.31e-07,-1.09,4884.633856,6.59817512,4.552749874,12.39368714,6.327320075,0.0,0.0,17.55199628,0.0,6.420821623,0.0,13.59242839,10.11812686,4.567099648,0.0,23.04597701,23.71055525,0.0,0.0,0.0,6.544756406,12.84164325,0.0,7.047671983,34.77894371,12.97054686,0.0,0.0,0.0,0.0,8.817018141,3.361944444,-4.046184807,0.666666667,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.15,1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.91228271
1.150138889,0.476113751,11.88888889,2.588571201,3.31e-07,-1.09,4884.633856,6.59817512,4.552749874,12.39368714,6.327320075,0.0,0.0,17.55199628,0.0,6.420821623,0.0,13.59242839,10.11812686,4.567099648,0.0,23.04597701,23.71055525,0.0,0.0,0.0,6.544756406,12.84164325,0.0,7.047671983,34.77894371,12.97054686,0.0,0.0,0.0,0.0,8.817018141,3.361944444,-4.046184807,0.666666667,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.15,1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.92068108
1.150138889,0.476113751,11.88888889,2.588571201,3.31e-07,-1.09,4884.633856,6.59817512,4.552749874,12.39368714,6.327320075,0.0,0.0,17.55199628,0.0,6.420821623,0.0,13.59242839,10.11812686,4.567099648,0.0,23.04597701,23.71055525,0.0,0.0,0.0,6.544756406,12.84164325,0.0,7.047671983,34.77894371,12.97054686,0.0,0.0,0.0,0.0,8.817018141,3.361944444,-4.046184807,0.666666667,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.15,1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.928614482
1.150138889,0.476113751,11.88888889,2.588571201,3.31e-07,-1.09,4884.633856,6.59817512,4.552749874,12.39368714,6.327320075,0.0,0.0,17.55199628,0.0,6.420821623,0.0,13.59242839,10.11812686,4.567099648,0.0,23.04597701,23.71055525,0.0,0.0,0.0,6.544756406,12.84164325,0.0,7.047671983,34.77894371,12.97054686,0.0,0.0,0.0,0.0,8.817018141,3.361944444,-4.046184807,0.666666667,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.15,1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.933344486
1.150138889,0.476113751,11.88888889,2.588571201,3.31e-07,-1.09,4884.633856,6.59817512,4.552749874,12.39368714,6.327320075,0.0,0.0,17.55199628,0.0,6.420821623,0.0,13.59242839,10.11812686,4.567099648,0.0,23.04597701,23.71055525,0.0,0.0,0.0,6.544756406,12.84164325,0.0,7.047671983,34.77894371,12.97054686,0.0,0.0,0.0,0.0,8.817018141,3.361944444,-4.046184807,0.666666667,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.15,1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.943905899
1.1675,0.600698505,10.78947368,2.700821183,3.99e-07,-1.53,10182.09586,9.097011807,9.901064579,18.36299243,6.327320075,0.0,0.0,9.134199296,0.0,12.84164325,0.0,13.59242839,5.969305288,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,32.2280429,0.0,0.0,41.8266157,9.901064579,0.0,8.784722222,-3.006944444,0.0,6.505432886,3.413194444,2.05807831,0.666666667,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.15,2,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,0.824175443
1.1675,0.600698505,10.78947368,2.700821183,3.99e-07,-1.53,10182.09586,9.097011807,9.901064579,18.36299243,6.327320075,0.0,0.0,9.134199296,0.0,12.84164325,0.0,13.59242839,5.969305288,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,32.2280429,0.0,0.0,41.8266157,9.901064579,0.0,8.784722222,-3.006944444,0.0,6.505432886,3.413194444,2.05807831,0.666666667,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.15,2,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,0.871293366
1.1675,0.600698505,10.78947368,2.700821183,3.99e-07,-1.53,10182.09586,9.097011807,9.901064579,18.36299243,6.327320075,0.0,0.0,9.134199296,0.0,12.84164325,0.0,13.59242839,5.969305288,9.673627043,0.0,16.71270345,18.38696557,0.0,0.0,0.0,0.0,32.2280429,0.0,0.0,41.8266157,9.901064579,0.0,8.784722222,-3.006944444,0.0,6.505432886,3.413194444,2.05807831,0.666666667,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.15,2,CCCCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,0.90016135
