MinAbsEStateIndex,MinEStateIndex,qed,SPS,NumRadicalElectrons,AvgIpc,BalabanJ,HallKierAlpha,Ipc,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA7,SlogP_VSA8,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState2,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NumAliphaticCarbocycles,NumSaturatedCarbocycles,RingCount,MolLogP,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_NH,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_allylic_oxid,fr_aniline,fr_aryl_methyl,fr_bicyclic,fr_ester,fr_ether,fr_guanido,fr_methoxy,fr_morpholine,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_pyridine,fr_quatN,fr_thiocyan,fr_unbrch_alkane,T/K,index,Normalized SMILES,lnr
0.972222222,-1.083333333,0.512171524,8.583333333,0,2.337756694,2.61e-07,-1.32,402.0941513,5.46375794,9.901064579,12.39368714,6.327320075,0.0,0.0,0.0,9.134199296,0.0,13.8474744,5.969305288,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,10.53640494,18.38696557,0.0,0.0,0.0,0.0,13.46849361,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.888888889,-1.083333333,0.0,6.142361111,4.153611111,2.02,0.5,0,0,1,-0.9113,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.0,1,CC(=O)[O-].CC[n+]1ccn(C)c1,1.796747011
0.972222222,-1.083333333,0.512171524,8.583333333,0,2.337756694,2.61e-07,-1.32,402.0941513,5.46375794,9.901064579,12.39368714,6.327320075,0.0,0.0,0.0,9.134199296,0.0,13.8474744,5.969305288,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,10.53640494,18.38696557,0.0,0.0,0.0,0.0,13.46849361,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.888888889,-1.083333333,0.0,6.142361111,4.153611111,2.02,0.5,0,0,1,-0.9113,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.0,2,CC(=O)[O-].CC[n+]1ccn(C)c1,1.785070481
0.972222222,-1.083333333,0.512171524,8.583333333,0,2.337756694,2.61e-07,-1.32,402.0941513,5.46375794,9.901064579,12.39368714,6.327320075,0.0,0.0,0.0,9.134199296,0.0,13.8474744,5.969305288,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,10.53640494,18.38696557,0.0,0.0,0.0,0.0,13.46849361,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.888888889,-1.083333333,0.0,6.142361111,4.153611111,2.02,0.5,0,0,1,-0.9113,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.0,3,CC(=O)[O-].CC[n+]1ccn(C)c1,1.8017098
0.972222222,-1.083333333,0.512171524,8.583333333,0,2.337756694,2.61e-07,-1.32,402.0941513,5.46375794,9.901064579,12.39368714,6.327320075,0.0,0.0,0.0,9.134199296,0.0,13.8474744,5.969305288,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,10.53640494,18.38696557,0.0,0.0,0.0,0.0,13.46849361,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.888888889,-1.083333333,0.0,6.142361111,4.153611111,2.02,0.5,0,0,1,-0.9113,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.0,4,CC(=O)[O-].CC[n+]1ccn(C)c1,1.805004696
0.972222222,-1.083333333,0.512171524,8.583333333,0,2.337756694,2.61e-07,-1.32,402.0941513,5.46375794,9.901064579,12.39368714,6.327320075,0.0,0.0,0.0,9.134199296,0.0,13.8474744,5.969305288,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,10.53640494,18.38696557,0.0,0.0,0.0,0.0,13.46849361,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.888888889,-1.083333333,0.0,6.142361111,4.153611111,2.02,0.5,0,0,1,-0.9113,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.0,5,CC(=O)[O-].CC[n+]1ccn(C)c1,1.834180185
0.972222222,-1.083333333,0.512171524,8.583333333,0,2.337756694,2.61e-07,-1.32,402.0941513,5.46375794,9.901064579,12.39368714,6.327320075,0.0,0.0,0.0,9.134199296,0.0,13.8474744,5.969305288,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,10.53640494,18.38696557,0.0,0.0,0.0,0.0,13.46849361,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.888888889,-1.083333333,0.0,6.142361111,4.153611111,2.02,0.5,0,0,1,-0.9113,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.0,6,CC(=O)[O-].CC[n+]1ccn(C)c1,1.899117988
0.972222222,-1.083333333,0.512171524,8.583333333,0,2.337756694,2.61e-07,-1.32,402.0941513,5.46375794,9.901064579,12.39368714,6.327320075,0.0,0.0,0.0,9.134199296,0.0,13.8474744,5.969305288,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,10.53640494,18.38696557,0.0,0.0,0.0,0.0,13.46849361,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.888888889,-1.083333333,0.0,6.142361111,4.153611111,2.02,0.5,0,0,1,-0.9113,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313.0,7,CC(=O)[O-].CC[n+]1ccn(C)c1,1.611435915
0.972222222,-1.083333333,0.512171524,8.583333333,0,2.337756694,2.61e-07,-1.32,402.0941513,5.46375794,9.901064579,12.39368714,6.327320075,0.0,0.0,0.0,9.134199296,0.0,13.8474744,5.969305288,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,10.53640494,18.38696557,0.0,0.0,0.0,0.0,13.46849361,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.888888889,-1.083333333,0.0,6.142361111,4.153611111,2.02,0.5,0,0,1,-0.9113,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.0,8,CC(=O)[O-].CC[n+]1ccn(C)c1,1.688249093
0.972222222,-1.083333333,0.512171524,8.583333333,0,2.337756694,2.61e-07,-1.32,402.0941513,5.46375794,9.901064579,12.39368714,6.327320075,0.0,0.0,0.0,9.134199296,0.0,13.8474744,5.969305288,13.59242839,5.969305288,7.047671983,0.0,9.673627043,0.0,10.53640494,18.38696557,0.0,0.0,0.0,0.0,13.46849361,0.0,0.0,17.8116152,24.01500049,9.901064579,0.0,8.888888889,-1.083333333,0.0,6.142361111,4.153611111,2.02,0.5,0,0,1,-0.9113,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.0,9,CC(=O)[O-].CC[n+]1ccn(C)c1,1.750937475
1.149583333,1.149583333,0.432035265,8.357142857,0,2.183356696,5e-07,-1.14,1152.812336,6.384129941,12.62878915,6.544756406,0.0,0.0,0.0,0.0,9.828991203,0.0,12.48718869,18.55355576,0.0,12.62878915,0.0,0.0,4.567099648,0.0,0.0,19.17354555,0.0,0.0,0.0,0.0,6.544756406,23.80634803,0.0,0.0,55.56978448,5.261891555,3.699074074,0.0,0.0,4.296944444,6.823998724,5.481836026,0.0,0.454545455,0,0,1,2.097,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,298.2,10,CCCC[n+]1ccc(C)cc1.N#C[S-],0.936093359
