,T/K,Normalized SMILES,Toluene_298,Toluene_328,Styrene_328,Styrene_298,Styrene_298_STD
131,298.15,CCCC[n+]1ccc(N(C)C)cc1.F[P-](F)(F)(F)(F)F,0.11536306,0.19296685,0.08493509,0.049680285,0.04613993
132,298.15,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1.2328284,1.2678812,1.0477083,1.0599158,0.065714635
133,298.15,CCC[N+]1(C)CCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,0.26065665,0.31574577,0.19757096,0.1600005,0.06138315
134,298.15,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,0.5672759,0.60793406,0.32280755,0.30145243,0.04973262
135,298.15,CC[N+]1(C)CCCC1.F[B-](F)(F)F,1.5609677,1.5480127,1.1988178,1.1964867,0.11966076
136,298.15,CCCC[N+]1(C)CCCCC1.F[B-](F)(F)F,1.0458169,1.0733093,0.75276345,0.73022807,0.10185865
137,298.15,CCCC[N+]1(C)CCCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,0.07158337,0.13789858,-0.033365875,-0.09062708,0.07543851
138,298.15,CCCC[N+]1(C)CCCCC1.O=S(=O)([O-])C(F)(F)F,0.6332084,0.66163063,0.3919553,0.3599084,0.047586
139,298.15,CCCC[N+]1(C)CCCCC1.[Cl-],1.07968,1.1035798,0.8561139,0.81423396,0.07104367
140,298.15,CCCC[N+]1(C)CCCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,0.07158337,0.13789858,-0.033365875,-0.09062708,0.07543851
141,298.15,CCCCCCCCCCCCCC[N+](C)(C)C.O=S(=O)([O-])O,0.54085994,0.6041851,0.32807693,0.27273786,0.0714987
142,298.15,CC[n+]1ccccc1.[Cl-],1.6783108,1.754248,1.5702789,1.4169843,0.1772693
143,298.15,CCCC[n+]1ccn(C)c1C.O=S(=O)([O-])C(F)(F)F,0.8321663,0.8429531,0.647979,0.6355905,0.047547154
144,298.15,N#CCCCn1cc[n+](CCCC#N)c1.[Cl-],2.4920049,2.4714272,2.4397495,2.3622243,0.20416707
145,298.15,N#CCn1cc[n+](CC#N)c1.[Cl-],4.7714643,4.7058153,3.8259537,3.806059,0.32492566
146,298.15,Cn1cc[n+](CCO)c1.[Cl-],2.3263001,2.3932817,2.0386093,1.884366,0.22199042
147,298.15,C[n+]1ccn(CC#N)c1.[Cl-],2.7188592,2.7291064,2.2577157,2.1385353,0.19198681
148,298.15,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,0.5672759,0.60793406,0.32280755,0.30145243,0.04973262
149,298.15,CCCC[N+]1(C)CCCCC1.F[B-](F)(F)F,1.0458169,1.0733093,0.75276345,0.73022807,0.10185865
150,298.15,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1.7385441,1.7600381,1.36144,1.3681681,0.076547466
151,298.15,CCCC[n+]1ccn(C)c1.COCCOCCOS(=O)(=O)[O-],1.2659442,1.2857096,1.0709155,1.1036854,0.062272515
152,298.15,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.611626,0.64637864,0.34648854,0.3062932,0.057058062
153,298.15,CC[n+]1ccn(C)c1C.[Cl-],1.2747855,1.3223038,1.2319026,1.1464088,0.10316096
154,298.15,CC(O)C(=O)[O-].CC[n+]1ccn(C)c1,1.9567343,1.9825608,1.8564923,1.8244858,0.09024537
155,298.15,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1.6965555,1.7196327,1.6308457,1.6663793,0.08892438
156,298.15,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],0.24189095,0.2896904,0.1642884,0.13419196,0.07725244
157,298.15,CCC[n+]1ccn(C)c1.[Cl-],1.6911819,1.7280886,1.3920777,1.3408543,0.1008988
158,298.15,CCCCCCCC[n+]1ccn(C)c1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,-0.19330251,-0.11111667,-0.21844026,-0.28522873,0.06800057
159,298.15,Cn1cc[n+](CCCC#N)c1.[Cl-],1.9596504,1.9929745,1.9345125,1.8141978,0.19374056
160,298.15,CCCC[N+](C)(CCCC)CCCC.N#C[N-]C#N,0.37587517,0.40862662,0.20273623,0.16506037,0.054622296
161,298.15,CCCC[N+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-],0.3700226,0.4170826,0.24205878,0.21880308,0.073603146
162,298.15,CCCC[N+](C)(CCCC)CCCC.COS(=O)(=O)[O-],0.7518192,0.7895316,0.7841013,0.798355,0.083205916
163,298.15,CC(C)[P+](C)(C(C)C)C(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,0.45088586,0.49410325,0.2481821,0.22781947,0.06776501
164,298.15,CC(=O)[O-].C[N+](C)(C)CCO,2.4837573,2.4775088,2.1149216,2.0446732,0.18545827
