SMILES,IL_SMILES,T/K,r,Normalized SMILES,index
Cc1ccccc1,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,358.15,4.502,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,4
Cc1ccccc1,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,368.15,4.52,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,4
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],298.15,6.01,CC[n+]1ccn(C)c1.N#C[S-],5
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],308.15,6.04,CC[n+]1ccn(C)c1.N#C[S-],5
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],318.15,6.07,CC[n+]1ccn(C)c1.N#C[S-],5
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],328.15,6.1,CC[n+]1ccn(C)c1.N#C[S-],5
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],338.15,6.12,CC[n+]1ccn(C)c1.N#C[S-],5
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],348.15,6.15,CC[n+]1ccn(C)c1.N#C[S-],5
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],358.15,6.17,CC[n+]1ccn(C)c1.N#C[S-],5
Cc1ccccc1,CC[n+]1ccn(C)c1.N#C[S-],368.15,6.2,CC[n+]1ccn(C)c1.N#C[S-],5
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,298.15,2.31,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,308.15,2.33,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,318.15,2.35,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,328.15,2.37,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,338.15,2.4,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
Cc1ccccc1,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,348.15,2.42,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,6
